gt_value,prediction,error,absolute_error,relative_error,absolute_relative_error,relative_error_percent,absolute_relative_error_percent
404000,503929.1316569705,99929.13165697048,99929.13165697048,0.2473493357845804,0.2473493357845804,24.73493357845804,24.73493357845804
668250,654349.3514789208,-13900.648521079216,13900.648521079216,-0.02080156905511293,0.02080156905511293,-2.080156905511293,2.080156905511293
333300,342323.801567448,9023.801567448012,9023.801567448012,0.02707411211355539,0.02707411211355539,2.7074112113555393,2.7074112113555393
616100,578546.3214869247,-37553.67851307534,37553.67851307534,-0.060953868711370464,0.060953868711370464,-6.0953868711370465,6.0953868711370465
371250,401735.51019990514,30485.51019990514,30485.51019990514,0.08211585239031688,0.08211585239031688,8.211585239031688,8.211585239031688
409050,419819.48929688334,10769.489296883345,10769.489296883345,0.026328051086379037,0.026328051086379037,2.632805108637904,2.632805108637904
479750,438874.9107107002,-40875.089289299794,40875.089289299794,-0.08520081144200062,0.08520081144200062,-8.520081144200061,8.520081144200061
544500,596404.8423384527,51904.8423384527,51904.8423384527,0.09532569759128136,0.09532569759128136,9.532569759128135,9.532569759128135
520150,524776.8670110689,4626.8670110688545,4626.8670110688545,0.008895255236121993,0.008895255236121993,0.8895255236121993,0.8895255236121993
479750,472038.8169011057,-7711.183098894311,7711.183098894311,-0.016073336318695803,0.016073336318695803,-1.6073336318695803,1.6073336318695803
451975,454452.41201218864,2477.412012188637,2477.412012188637,0.00548130319639059,0.00548130319639059,0.548130319639059,0.548130319639059
297000,293602.5043079553,-3397.495692044671,3397.495692044671,-0.011439379434493841,0.011439379434493841,-1.1439379434493842,1.1439379434493842
544500,543743.9690948732,-756.0309051268268,756.0309051268268,-0.0013884865107930704,0.0013884865107930704,-0.13884865107930702,0.13884865107930702
415800,393779.030385446,-22020.969614554022,22020.969614554022,-0.052960484883487306,0.052960484883487306,-5.29604848834873,5.29604848834873
242400,246631.8385587645,4231.838558764488,4231.838558764488,0.017458079862889803,0.017458079862889803,1.7458079862889804,1.7458079862889804
693000,690710.4359617814,-2289.564038218581,2289.564038218581,-0.0033038442109936234,0.0033038442109936234,-0.33038442109936234,0.33038442109936234
519750,634370.2440430876,114620.24404308759,114620.24404308759,0.2205295700684706,0.2205295700684706,22.05295700684706,22.05295700684706
419150,413910.08588890516,-5239.91411109484,5239.91411109484,-0.012501286200870428,0.012501286200870428,-1.2501286200870427,1.2501286200870427
490050,516503.3184154842,26453.318415484217,26453.318415484217,0.05398085586263487,0.05398085586263487,5.398085586263487,5.398085586263487
1161500,1174311.4105212644,12811.41052126442,12811.41052126442,0.011030056410903506,0.011030056410903506,1.1030056410903506,1.1030056410903506
626200,513739.3534686137,-112460.6465313863,112460.6465313863,-0.17959221739282386,0.17959221739282386,-17.959221739282384,17.959221739282384
994850,1125417.0488824386,130567.04888243857,130567.04888243857,0.1312429500753265,0.1312429500753265,13.124295007532648,13.124295007532648
465300,481178.8281123471,15878.82811234711,15878.82811234711,0.03412600067128113,0.03412600067128113,3.412600067128113,3.412600067128113
425700,461191.06480968185,35491.06480968185,35491.06480968185,0.08337107072981406,0.08337107072981406,8.337107072981405,8.337107072981405
227250,221431.80630809497,-5818.193691905035,5818.193691905035,-0.025602612505632717,0.025602612505632717,-2.5602612505632716,2.5602612505632716
618750,616404.5032165296,-2345.4967834703857,2345.4967834703857,-0.003790701872275371,0.003790701872275371,-0.3790701872275371,0.3790701872275371
792000,723040.0396765397,-68959.96032346028,68959.96032346028,-0.08707065697406602,0.08707065697406602,-8.707065697406602,8.707065697406602
737300,693639.7782668275,-43660.22173317254,43660.22173317254,-0.05921635932886551,0.05921635932886551,-5.92163593288655,5.92163593288655
1060500,811422.108039649,-249077.89196035103,249077.89196035103,-0.2348683563982565,0.2348683563982565,-23.48683563982565,23.48683563982565
883750,800729.3508842903,-83020.6491157097,83020.6491157097,-0.09394132856091622,0.09394132856091622,-9.394132856091622,9.394132856091622
530250,511149.97892912483,-19100.02107087517,19100.02107087517,-0.0360207846692601,0.0360207846692601,-3.60207846692601,3.60207846692601
376200,381301.94390553207,5101.943905532069,5101.943905532069,0.01356178603278062,0.01356178603278062,1.356178603278062,1.356178603278062
376200,375500.51189338096,-699.4881066190428,699.4881066190428,-0.0018593516922356269,0.0018593516922356269,-0.18593516922356268,0.18593516922356268
534600,636368.553672896,101768.553672896,101768.553672896,0.19036392381761316,0.19036392381761316,19.036392381761317,19.036392381761317
297000,394829.0835771066,97829.08357710659,97829.08357710659,0.3293908537949717,0.3293908537949717,32.93908537949717,32.93908537949717
207050,206378.42937000238,-671.5706299976155,671.5706299976155,-0.0032435191016547474,0.0032435191016547474,-0.3243519101654747,0.3243519101654747
272250,266806.57067992305,-5443.429320076946,5443.429320076946,-0.019994230744084282,0.019994230744084282,-1.9994230744084283,1.9994230744084283
1039500,1075812.8850218516,36312.88502185163,36312.88502185163,0.034933030324051595,0.034933030324051595,3.4933030324051595,3.4933030324051595
